"x","y"
3768881.35988266,741115.128010276
3866321.82998838,907649.749645508
3856577.78297781,718083.744167105
3846833.73596723,1052924.63234858
3674984.17959896,775662.203775031
3839747.15632318,976743.901175019
3744964.15358398,1003318.57484022
3779511.22934873,710997.164523053
3714846.19009676,819953.326550359
3895553.97102009,982944.658363565
3644866.21611174,721627.033989132
3675870.00205447,803122.699895734
3689157.33888707,911193.039467534
4006281.77795841,1107845.62458999
3686499.87152055,877531.786158285
3798113.50091437,1075956.01619175
3759137.31287208,978515.546086032
3852148.67070027,990917.060463124
3744078.33112847,875760.141247272
3613862.43016901,739343.483099263
3718389.47991878,850957.112493088
3899097.26084212,848299.645126569
3912384.59767472,931566.955944185
3974392.16956018,828811.551105425
3954018.25308353,1060011.21199264
3757365.66796107,725170.323811158
3697129.74098663,809323.45708428
3770653.00479367,951940.872420836
3975277.99201568,998889.462562683
3880494.98927648,743772.595376795
3791912.74372583,912078.861923041
3789255.27635931,1011290.97693977
3831774.75422362,793378.652885163
3738763.39639543,1018377.55658383
3945160.02852846,856272.047226128
3805200.08055843,1005090.21975123
3969963.05728264,959913.274520395
3992108.61867031,1025464.13622788
3973506.34710467,991802.88291863
3724590.23710733,703910.584879
3898211.43838661,898791.525090442
3745849.97603949,1006861.86466224
3764452.24760512,723398.678900145
3990336.97375929,780091.316052564
3893782.32610908,737571.83818825
3613862.43016901,725170.323811158
3880494.98927648,808437.634628774
3597031.80351439,749087.530109835
3927443.57941833,991802.88291863
3990336.97375929,1127333.71861113
3987679.50639278,955484.162242862
3990336.97375929,1097215.75512391
3811400.83774697,980287.190997045
3845947.91351173,743772.595376795
3934530.15906238,957255.807153875
3835318.04404565,780091.316052564
3663468.48767738,758831.577120407
3822030.70721305,901448.992456962
3907069.66294168,1035208.18323845
3986793.68393727,873102.673880752
3859235.25034432,926252.021211145
3561598.90529412,710997.164523053
3837089.68895666,757945.7546649
3695358.09607561,765032.334308953
3801656.7907364,856272.047226128
3975277.99201568,850957.112493088
3711302.90027473,911193.039467534
3622720.65472407,812866.746906307
3880494.98927648,977629.723630526
3914156.24258573,799579.410073708
3669669.24486592,802236.877440228
4010710.89023595,1061782.85690365
4002738.48813639,963456.564342421
3854806.13806679,778319.671141551
4043486.32108969,1087471.70811334
3666125.9550439,794264.475340669
3960219.01027207,1067983.61409219
3868093.47489939,1022806.66886136
3794570.21109235,1056467.92217061
3776853.76198222,937767.713132731
3972620.52464916,987373.770641098
3926557.75696282,1060011.21199264
3819373.23984653,747315.885198822
3841518.80123419,828811.551105425
3930986.86924036,970543.143986473
3807857.54792495,851842.934948595
4000966.84322537,835898.130749477
3668783.42241042,766803.979219966
3880494.98927648,1020149.20149484
3855691.9605223,755288.287298381
3750279.08831702,855386.224770621
3713074.54518574,873988.496336259
3767995.53742715,831469.018471944
3653724.4406668,763260.68939794
3832660.57667913,775662.203775031
3818487.41739102,910307.217012028
3936301.8039734,1018377.55658383
4000966.84322537,1004204.39729572
4030198.98425709,1032550.71587193
3745849.97603949,732256.90345521
3884038.27909851,827039.906194411
3932758.51415137,1004204.39729572
3824688.17457957,929795.311033172
3844176.26860071,1078613.48355827
3877837.52190996,966114.03170894
3971734.70219366,1027235.78113889
3977935.4593822,945740.11523229
3734334.2841179,1050267.16498206
3973506.34710467,1058239.56708162
3853034.49315578,1047609.69761554
3873408.40963243,992688.705374137
3780397.05180424,1082156.7733803
3843290.44614521,1021920.84640585
3890239.03628705,1088357.53056884
3895553.97102009,1090129.17547986
3983250.39411524,1039637.29551598
3646637.86102275,792492.830429656
3554512.32565007,769461.446586485
3711302.90027473,737571.83818825
3774196.2946157,840327.24302701
3732562.63920689,945740.11523229
3892896.50365357,807551.812173267
3787483.63144829,1076841.83864726
3655496.08557782,734028.548366223
3950474.9632615,1098101.57757942
3855691.9605223,1047609.69761554
3815829.9500245,979401.368541539
3941616.73870643,1109617.269501
3979707.10429322,943968.470321277
3849491.20333375,910307.217012028
3936301.8039734,888161.655624364
3690928.98379808,818181.681639346
3734334.2841179,993574.527829644
3698901.38589764,962570.741886914
3905298.01803067,965228.209253434
3848605.38087825,966114.03170894
3938959.27133991,1027235.78113889
3981478.74920423,867787.739147713
3767109.71497164,785406.250785603
3881380.81173199,789835.363063136
3927443.57941833,858929.514592647
3703330.49817517,740229.305554769
3908841.30785269,846528.000215556
3710417.07781922,996231.995196163
3802542.61319191,743772.595376795
3975277.99201568,1116703.84914505
3858349.42788882,870445.206514233
3961104.83272758,1029893.24850541
3800770.96828089,1032550.71587193
3831774.75422362,734914.37082173
3953132.43062802,974086.433808499
3985907.86148176,962570.741886914
4052344.54564475,1086585.88565783
3981478.74920423,804008.522351241
3732562.63920689,965228.209253434
3829117.2868571,1003318.57484022
4009825.06778044,1002432.75238471
3711302.90027473,785406.250785603
3696243.91853112,840327.24302701
3823802.35212406,959027.452064888
3725476.05956284,879303.431069298
3729905.17184037,876645.963702779
3689157.33888707,714540.454345079
3688271.51643156,854500.402315115
3868093.47489939,936881.890677224
3712188.72273024,753516.642387368
3724590.23710733,1058239.56708162
3915042.06504124,814638.39181732
3787483.63144829,725170.323811158
3784826.16408177,850071.290037582
3938959.27133991,965228.209253434
3813172.48265798,990031.238007617
3915042.06504124,824382.438827892
3773310.47216019,839441.420571503
3949589.14080599,981173.013452552
3899983.08329763,1050267.16498206
3958447.36536106,910307.217012028
3926557.75696282,1122904.6063336
3769767.18233816,1067097.79163669
3889353.21383155,742000.950465782
3546539.92355051,721627.033989132
3712188.72273024,836783.953204984
4018683.2923355,1072412.72636973
3826459.81949058,1007747.68711775
3990336.97375929,1006861.86466224
3777739.58443772,903220.637367975
3855691.9605223,865130.271781193
3738763.39639543,908535.572101014
3881380.81173199,818181.681639346
3705987.96554169,974972.256264006
3849491.20333375,932452.778399691
3853920.31561129,951055.049965329
3745849.97603949,884618.365802337
3703330.49817517,782748.783419084
3756479.84550556,998003.640107176
3843290.44614521,845642.177760049
4018683.2923355,907649.749645508
3974392.16956018,1051152.98743757
3977049.6369267,836783.953204984
3919471.17731877,973200.611352993
3538567.52145095,739343.483099263
3760908.9577831,1073298.54882523
3904412.19557516,966999.854164447
3922128.64468529,988259.593096604
3674984.17959896,694166.537868428
3643094.57120073,734028.548366223
3721932.76974081,819067.504094852
3900868.90575313,784520.428330097
3861006.89525534,913850.506834054
4006281.77795841,951940.872420836
3718389.47991878,935996.068221718
3718389.47991878,814638.39181732
3990336.97375929,1045838.05270453
3744078.33112847,816410.036728333
3763566.42514962,858929.514592647
3726361.88201834,906763.927190001
3761794.7802386,1046723.87516004
3901754.72820864,848299.645126569
3882266.6341875,897019.880179429
3695358.09607561,864244.449325687
3772424.64970468,840327.24302701
3827345.64194609,1083928.41829131
3581972.82177077,703910.584879
3900868.90575313,1020149.20149484
3986793.68393727,851842.934948595
3990336.97375929,1122904.6063336
3871636.76472142,894362.41281291
3756479.84550556,1019263.37903933
3961104.83272758,979401.368541539
3904412.19557516,996231.995196163
3952246.60817251,1042294.7628825
3781282.87425975,1018377.55658383
3954904.07553903,934224.423310705
3920356.99977428,864244.449325687
3783940.34162627,911193.039467534
3872522.58717692,1076841.83864726
3750279.08831702,741115.128010276
3760908.9577831,1027235.78113889
3814058.30511349,912964.684378547
3781282.87425975,743772.595376795
3749393.26586151,772118.913953005
3801656.7907364,1067097.79163669
3707759.6104527,939539.358043744
4030198.98425709,1097215.75512391
3972620.52464916,1068869.4365477
3977935.4593822,1006861.86466224
3879609.16682098,1075070.19373625
3841518.80123419,1032550.71587193
3975277.99201568,1010405.15448427
3640437.10383421,819067.504094852
3612976.6077135,799579.410073708
3868093.47489939,794264.475340669
3923900.2895963,943082.64786577
3697129.74098663,878417.608613792
3836203.86650115,871331.028969739
3571342.95230469,731371.080999704
3963762.3000941,1096329.9326684
3745849.97603949,762374.866942433
3853034.49315578,1067983.61409219
4017797.46988,1093672.46530188
3562484.72774963,756174.109753887
3721046.9472853,857157.869681634
3964648.12254961,927137.843666652
3710417.07781922,1021920.84640585
3929215.22432934,1044952.23024902
3589945.22387033,718083.744167105
3900868.90575313,1036979.82814946
3830003.10931261,927137.843666652
3853920.31561129,986487.948185591
3701558.85326416,735800.193277236
3721932.76974081,909421.394556521
3905298.01803067,957255.807153875
3810515.01529146,929795.311033172
3835318.04404565,900563.170001455
3660811.02031086,721627.033989132
3697129.74098663,979401.368541539
3854806.13806679,886390.01071335
3929215.22432934,1047609.69761554
4047915.43336722,1053810.45480409
3841518.80123419,709225.51961204
3784826.16408177,970543.143986473
3558941.4379276,744658.417832302
3760023.13532759,1046723.87516004
3986793.68393727,913850.506834054
3672326.71223244,702138.939967987
3825573.99703508,1039637.29551598
3947817.49589498,1075070.19373625
3896439.7934756,880189.253524805
3751164.91077253,935996.068221718
3556283.97056108,735800.193277236
3985907.86148176,866016.0942367
3903526.37311965,966114.03170894
3731676.81675138,938653.535588237
3723704.41465182,897905.702634936
3691814.80625359,846528.000215556
3845947.91351173,1033436.53832744
3776853.76198222,724284.501355651
3994766.08603683,989145.415552111
3582858.64422628,710997.164523053
3887581.56892053,860701.159503661
3667011.7774994,733142.725910717
3775967.93952671,988259.593096604
3805200.08055843,1005976.04220674
4055002.01301127,1067983.61409219
3789255.27635931,897019.880179429
3801656.7907364,1057353.74462612
3996537.73094784,896134.057723923
3884038.27909851,981173.013452552
3635122.16910117,777433.848686044
3818487.41739102,1077727.66110277
3790141.09881481,1059125.38953713
3847719.55842274,918279.619111586
4032856.45162361,1091900.82039087
3979707.10429322,809323.45708428
3976163.81447119,916507.974200573
3891124.85874256,889933.300535377
3543882.45618399,715426.276800586
3869865.1198104,732256.90345521
3882266.6341875,1083928.41829131
3763566.42514962,1003318.57484022
3690043.16134257,855386.224770621
3849491.20333375,911193.039467534
4038171.38635665,1130877.00843316
3791912.74372583,929795.311033172
3622720.65472407,742886.772921289
3620063.18735756,718969.566622612
3759137.31287208,946625.937687796
3729019.34938486,1016605.91167281
3736105.92902891,848299.645126569
3858349.42788882,907649.749645508
3845062.09105622,743772.595376795
4012482.53514696,1122018.78387809
3829117.2868571,940425.18049925
3775967.93952671,1041408.940427
3981478.74920423,1028121.6035944
3811400.83774697,1062668.67935915
3921242.82222978,879303.431069298
3907069.66294168,837669.77566049
3810515.01529146,880189.253524805
3861892.71771084,1032550.71587193
3911498.77521921,1049381.34252656
3706873.7879972,828811.551105425
3746735.79849499,880189.253524805
3722818.59219632,937767.713132731
3817601.59493552,759717.399575913
3790141.09881481,760603.22203142
4045257.9660007,1103416.51231246
3819373.23984653,1036979.82814946
3873408.40963243,1067983.61409219
3954904.07553903,880189.253524805
3709531.25536372,900563.170001455
3665240.13258839,757945.7546649
3880494.98927648,967885.676619953
3773310.47216019,775662.203775031
3767995.53742715,826154.083738905
4079805.04176546,1032550.71587193
3850377.02578926,754402.464842874
3588173.57895932,749973.352565341
3899097.26084212,1027235.78113889
3697129.74098663,777433.848686044
3839747.15632318,844756.355304542
3993880.26358132,949283.405054316
3922128.64468529,1060011.21199264
3855691.9605223,764146.511853446
3723704.41465182,787177.895696616
3791912.74372583,888161.655624364
3804314.25810292,916507.974200573
3977935.4593822,889933.300535377
3880494.98927648,842984.710393529
3908841.30785269,1117589.67160056
3931872.69169586,818181.681639346
3601460.91579192,733142.725910717
3909727.1303082,1075956.01619175
3938959.27133991,1085700.06320233
3865436.00753287,907649.749645508
3737877.57393993,869559.384058726
3904412.19557516,867787.739147713
3881380.81173199,1075070.19373625
3787483.63144829,882846.720891324
3876065.87699895,925366.198755639
3756479.84550556,969657.321530967
3891124.85874256,1027235.78113889
3587287.75650381,738457.660643756
3944274.20607295,1097215.75512391
3886695.74646503,973200.611352993
3698015.56344213,730485.258544197
3703330.49817517,866901.916692206
3941616.73870643,859815.337048154
3915042.06504124,1096329.9326684
3817601.59493552,969657.321530967
3806971.72546944,1044066.40779352
3811400.83774697,790721.185518643
3945160.02852846,953712.517331849
3946931.67343947,925366.198755639
3774196.2946157,1013948.44430629
3747621.6209505,1069755.25900321
3830888.93176812,811095.101995294
3619177.36490205,796921.942707189
4000966.84322537,1068869.4365477
3690928.98379808,766803.979219966
3792798.56618133,1038751.47306048
3688271.51643156,768575.624130979
3820259.06230204,944854.292776783
3694472.27362011,778319.671141551
3916813.70995225,1124676.25124461
4043486.32108969,1052038.80989308
3672326.71223244,749087.530109835
3785711.98653728,795150.297796176
3785711.98653728,827039.906194411
3980592.92674872,935996.068221718
3892010.68119807,921822.908933613
3767109.71497164,957255.807153875
3734334.2841179,1013948.44430629
3773310.47216019,809323.45708428
3987679.50639278,914736.32928956
3642208.74874522,735800.193277236
3757365.66796107,821724.971461372
3576657.88703773,727827.791177677
3910612.95276371,842984.710393529
3929215.22432934,867787.739147713
3924786.11205181,950169.227509822
3829117.2868571,938653.535588237
3621834.83226857,725170.323811158
3905298.01803067,950169.227509822
4027541.51689057,1034322.36078295
3715732.01255226,829697.373560931
3922128.64468529,1064440.32427017
3589945.22387033,754402.464842874
3961990.65518309,981173.013452552
3662582.66522187,788063.718152123
3972620.52464916,948397.582598809
3758251.49041658,908535.572101014
3806971.72546944,984716.303274578
3730790.99429587,994460.35028515
3949589.14080599,931566.955944185
3729019.34938486,781862.960963577
3757365.66796107,742000.950465782
3871636.76472142,935110.245766211
3989451.15130379,930681.133488678
3636893.81401218,726056.146266664
3813172.48265798,765032.334308953
3861892.71771084,879303.431069298
3672326.71223244,829697.373560931
3777739.58443772,726056.146266664
3884038.27909851,900563.170001455
3853034.49315578,912964.684378547
3655496.08557782,823496.616372385
3806971.72546944,717197.921711599
3900868.90575313,885504.188257844
4008939.24532493,1114046.38177853
3798113.50091437,973200.611352993
3892896.50365357,888161.655624364
3933644.33660688,789835.363063136
3766223.89251614,983830.480819072
3886695.74646503,1052924.63234858
3930986.86924036,1035208.18323845
3633350.52419015,752630.819931861
3974392.16956018,1029007.42604991
3965533.94500511,1025464.13622788
3801656.7907364,834126.485838464
3939845.09379542,792492.830429656
3828231.4644016,820839.149005866
3993880.26358132,1013948.44430629
3698015.56344213,770347.269041992
3639551.2813787,794264.475340669
3998309.37585885,902334.814912469
3923900.2895963,894362.41281291
3960219.01027207,1020149.20149484
3736991.75148442,788949.54060763
3767995.53742715,874874.318791765
3894668.14856459,962570.741886914
3681184.93678751,798693.587618202
3566028.01757166,708339.697156533
3819373.23984653,969657.321530967
3758251.49041658,844756.355304542
3834432.22159014,1098101.57757942
3855691.9605223,818181.681639346
3705102.14308618,947511.760143303
3867207.65244388,945740.11523229
3922128.64468529,801351.054984721
3948703.31835049,960799.096975901
3748507.44340601,735800.193277236
3691814.80625359,704796.407334507
3727247.70447385,746430.062743315
3808743.37038045,732256.90345521
3843290.44614521,906763.927190001
4006281.77795841,976743.901175019
3977049.6369267,1077727.66110277
4061202.77019982,1009519.33202876
3683842.40415403,784520.428330097
3628921.41191262,802236.877440228
3882266.6341875,934224.423310705
3953132.43062802,858929.514592647
3887581.56892053,933338.600855198
3720161.1248298,703910.584879
3815829.9500245,736686.015732743
3589945.22387033,697709.827690455
3865436.00753287,1095444.1102129
3885809.92400952,867787.739147713
3915042.06504124,961684.919431408
3914156.24258573,920051.2640226
3563370.55020514,723398.678900145
3960219.01027207,879303.431069298
3741420.86376195,807551.812173267
3786597.80899279,875760.141247272
