"x","y"
3987357.3114459,1066688.9406367
3909984.92070921,1105236.05255418
3989805.23157303,1085398.76628268
3979038.09891044,1019690.95000069
3919659.51494219,958494.135527869
3989657.25634221,1043839.03717404
3785944.75509076,890975.013036484
3917934.08668562,838225.302100357
3885166.71906803,812056.115017373
3875272.06154369,1060448.64366393
4002555.65719692,1045142.99697981
3971093.55665714,1055829.84608002
3879566.8340672,1060848.81560946
4000699.74304752,1063421.57234612
3989486.38677739,1002266.90867294
4025045.56248254,1079765.07179073
3702717.00826256,837907.008781011
3690308.68428713,716840.974704088
3665142.07584924,756461.17407825
3980600.33281831,1047546.49154002
3974959.84724651,973109.071036258
4004993.6465738,1063858.18378402
3959919.76449797,948533.552504708
4027405.11057041,1056922.56381405
4010773.6974575,1092146.74783526
3916982.68336703,1032089.71170845
3979854.12990493,1098242.99307451
3921188.07066456,1078633.07152286
3988277.24942294,1057549.37646685
3972457.62997605,1042117.91235054
3959337.16142522,1086969.43062145
3964515.48691245,990547.573251855
3687056.568641,758169.593521995
3881229.09833477,996415.138169652
3906674.02494465,1003419.38875081
3879526.82044802,1014713.29952692
3955436.73604633,994272.224937098
3936073.00668405,969303.320710185
3819429.58761215,1055359.96548113
3968378.35078058,995546.378034786
3906138.99108812,1100256.14184562
3935079.57265912,1024601.76548951
3938281.50920794,946428.567273347
3960693.00386164,1073259.36997655
3984597.79610621,1094104.66664689
3997793.64518063,1049277.07526363
3967250.6719825,1050832.44207682
3965417.30453494,981401.407616411
3930652.24232732,1070319.36157394
3994879.57918304,1035131.79281989
3933617.9611025,858204.177888284
3802456.40218489,952394.770131778
3986733.68651214,1029694.8932551
3950373.40109023,956837.458129573
3948715.11211244,1062850.45473015
3891589.0185654,1071201.32072576
3887297.25317468,1070797.65562304
3743414.69401081,716490.412260393
3946027.29019907,1090273.30233826
3955951.2019847,1077405.89864413
3955049.97417294,1086546.08246417
3979395.59011176,1102811.89675651
4002667.4102125,1086702.83927399
3761997.50494089,1018080.09056386
3916205.12999872,948930.967852114
4003132.63264076,1082134.15215497
4006021.48613577,1096276.77576811
3793008.17568187,960797.553052223
3998719.00203631,1040136.97518869
4010687.30332123,1050588.12442578
3996405.71285681,1062986.20840409
3870487.47597505,1018488.64398456
