"x","y"
3942940.85663328,963440.179495205
3899787.06207107,1101001.22953887
3864168.18748714,1014700.63452566
3778737.63231611,889252.106816162
3899163.15917091,1008252.59350793
3906728.34587358,875759.833668653
3805898.05464388,929739.352443414
3863048.31142635,875620.583917877
4007564.2330442,1075724.81347166
3906168.42416711,775883.121212957
3897706.64721139,1068571.185675
3916809.36118177,884325.891613446
3936398.6074698,962482.069819989
3981639.04539981,971321.60828273
3879940.61555677,955438.997305737
3801712.30546203,730283.259571661
3849494.4945475,991703.620083102
3794828.61343154,949285.133907322
4001590.09080262,1093442.42814774
3972991.24927168,953957.621690379
3797780.67184107,882102.282922956
3825228.80859157,913231.443372636
3991918.33989684,1040459.1850667
3900329.41886075,872411.888836921
3804923.38134963,923029.094160183
3830424.625515,1029450.22323552
3920050.2523453,813954.527839096
3852448.0604408,815400.976256017
3869654.16179263,890595.462714092
3891378.91732417,953645.054344646
3742274.42390052,879881.924152061
3897292.55495749,775343.150763564
3931123.08273149,872778.188216041
3959751.71782134,1076659.02140003
3818989.53672021,1037487.29388158
3955199.69542304,956276.776096589
3841045.2906052,1002585.593943
3891679.21390919,1072023.01411956
3822689.51684265,936064.283615206
3937266.05246901,933631.369459872
3969787.06393507,1059398.92861137
3945820.25935919,1086976.92316168
3979256.23316548,1079153.9742348
3919911.65152197,941483.186859405
3961574.29246819,988798.954016323
3963624.60362293,894077.073341167
3843727.50305221,919721.465443661
3862194.53651929,820424.556946588
3822638.39173255,1055755.78881615
3924730.53931492,1002890.54929108
3921439.05023993,991156.37609339
3910499.01955382,1073794.47873761
3918780.35650668,906206.735221645
3899024.58901109,951495.55040535
3820115.27892958,891769.506006623
3833563.56371481,719805.84738093
3930748.16692621,1018594.49343514
3908847.24173836,908412.794997529
3975201.26273663,1075537.21535559
3775730.86721432,856950.218664301
3796789.68450787,893782.785365202
3871916.7037186,1038611.65747574
3879883.52985033,990278.297107449
3784258.77323171,1035298.17439347
3969165.42236903,1039080.08678309
4011585.48036529,1084994.86274156
3819767.53420546,921334.558153571
3915353.92261723,1056677.06649798
3863099.51608491,927546.731377224
3839081.25353291,1069455.58654672
3800706.35540428,760684.21006759
3896252.85097434,1050281.64341678
3807552.27579529,800938.995559212
3977175.54405253,946820.885737844
3856590.60845587,1087979.84502098
3990393.11255202,1024866.41929515
3951670.03062731,1044930.9458596
3823063.92393081,961874.402745811
4005293.33098291,1079129.37243297
3881278.90674183,823368.902418744
3896660.05519831,1051152.03180544
3839047.24492277,939033.111930874
3841024.73187427,799289.5807433
3946656.1599186,982989.625656985
3982409.76542211,1075848.58538249
3816094.78995502,957943.348695855
3969537.19141589,1079663.7316681
3829514.55480855,958908.745544594
3942836.31568755,1056225.54539869
3950942.97629182,1000052.32036363
3949370.32519042,999253.739542137
3912276.7491704,891006.88145938
3771759.84575093,726195.723683809
3922192.55192753,1111164.20000171
3897233.22957551,979776.614971498
3903468.56732044,985785.406656837
3878073.44456792,916762.110993959
3969253.29705008,969126.262232854
3845481.40192522,981767.775514492
3943075.93697341,987689.784508961
3898442.83713316,896882.427428926
3886846.65988028,951427.612472781
3801713.54407132,719027.358592708
3905246.19731646,1028838.33755599
3845025.73881609,969349.557050738
3830252.88813273,883695.598001695
3820303.28852599,823455.639234513
3947861.40109693,1053864.78525723
3976127.84057113,1079373.46310685
3896633.20697612,1067695.08451157
3793937.4603332,1061056.47229396
3854740.68452497,1002074.49510454
3768645.62522903,709635.978931863
3919709.39222471,940303.582804115
3881927.08709065,799476.974479068
3977556.39260698,1079802.7993851
3943315.95848237,1096202.09338991
3836795.94246197,891532.692271325
3894642.81120872,1048451.01697737
3966707.2013989,944221.35637406
3873729.36198902,1073989.17053861
3819678.8205924,859673.16058078
